Area	Gender	ID (filenames - use ; for multiple items)	Item	Design	Category	Color	Perfect Match	Terrible Match	color match	design match	Icon	Display Name		Image Link
Shoes	Female	Female_Shoe_08	Brown Mid Heels	Trendy	Business Casual	Brown					Female_Shoe_08_Icon	Brown Mid Heels		
Shoes	Female	Female_Shoe_02	Red Heels	Modern	Business Casual	Red				Modern;Formal	Female_Shoe_02_Icon	Red Heels		
Shoes	Female	Female_Shoe_05	Open Toe Heels		Business Professional	Purple					Female_Shoe_05_Icon	Open Toe Heels		
Shoes	Female	Female_Shoe_07	Black Stripe Closed Toe Heels	Classic;Smart	Business Casual;Business Professional	Black;White					Female_Shoe_07_Icon	Black Stripe Closed Toe Heels		
Hair	Female	Female_Hair_10	Up Flair	Trendy	Informal				All		Female_Hair_10_Icon	Up Flair		http://hairstyles-magazine.com/wp-content/uploads/2014/08/punk-hairstyles-black-women-2013.jpg
Hair	Female	Female_Hair_02	Bob Haircut	Modern	Casual;Business Casual;Business Professional	Dark Blue			All	Modern	Female_Hair_02_Icon	Bob Haircut		
Hair	Female	Female_Hair_03	Pixie Cut	Trendy	Casual;Business Casual;Business Professional	Yellow			All	Trendy	Female_Hair_03_Icon	Pixie Cut		
Hair	Female	Female_Hair_06	Short Afro		Casual;Business Casual	Black			All		Female_Hair_06_Icon	Short Afro		
Hair	Female	Female_Hair_05	Short Wispy Hair	Trendy	Casual;Business Casual	Red			All		Female_Hair_05_Icon	Short Wispy Hair		
Hair	Female	Female_Hair_04	Long Fluffy Hair		Casual;Business Casual	Brown			All		Female_Hair_04_Icon	Long Fluffy Hair		
Hair	Female	Female_Hair_07; Female_Hair_Back_07	Shoulder Length Hair	Classic	Business Casual;Business Professional	Dark Brown			All	Classic	Female_Hair_07_Icon	Shoulder Length Hair		
Hair	Female	Female_Hair_09; Female_Hair_Back_09	Medium Length Black Hair	Classic	Casual;Business Casual	Black				Classic;Smart	Female_Hair_09_Icon	Medium Length Black Hair		http://www.thegossipparlor.com/wp-content/uploads/2013/10/professional-hairstyles-for-women-with-medium-hair.jpg
Hair	Female	Female_Hair_08	Bun	Classic	Business Professional	Brown				Classic	Female_Hair_08_Icon	Bun		
Bottom	Female	;;;Female_Skirt_04	Gray Knee Length Skirt		Business Casual	Grey			All		Female_Skirt_04_Icon	Gray Knee Length Skirt		
Bottom	Female	;;;Female_Skirt_02	Black Knee Length Skirt		Business Casual	Black			All		Female_Skirt_02_Icon	Black Knee Length Skirt		
Bottom	Female	;;;Female_Skirt_03	Yellow Patterned Skirt		Casual	Yellow					Female_Skirt_03_Icon	Yellow Patterned Skirt		
Bottom	Female	;;;Female_Skirt_05	Pink Skirt		Casual	Pink					Female_Skirt_05_Icon	Pink Skirt		
Bottom	Female	;;;Female_Skirt_06	Brown Skirt		Casual	Brown					Female_Skirt_06_Icon	Brown Skirt		
Bottom	Female	Female_Pants_02_Pelvis; Female_Pants_02_Top	Short Jeans		Informal	Blue					Female_Pants_02_Icon	Short Jeans		
Bottom	Female	Female_Pants_03_Pelvis; Female_Pants_03_Top; Female_Pants_03_Bot	Blue Sweatpants		Informal	Blue					Female_Pants_03_Icon	Blue Sweatpants		http://women-outfits.com/wp-content/uploads/2015/05/8-business-casual-women-outfits-to-copy-right-now9.jpg
Bottom	Female	Female_Pants_04_Pelvis; Female_Pants_04_Top; Female_Pants_04_Bot	Black Suit Pants - F	Classic	Business Casual;Business Professional	Black			All; -Black	Classic	Female_Pants_04_Icon	Black Suit Pants		http://women-outfits.com/wp-content/uploads/2015/05/8-business-casual-women-outfits-to-copy-right-now9.jpg
Bottom	Female	Female_Pants_05_Pelvis; Female_Pants_05_Top; Female_Pants_05_Bot	Blue Suit Pants - F	Classic	Business Casual;Business Professional	Blue				Classic	Female_Pants_05_Icon	Blue Suit Pants		http://women-outfits.com/wp-content/uploads/2015/05/8-business-casual-women-outfits-to-copy-right-now9.jpg
Bottom	Female	Female_Pants_06_Pelvis; Female_Pants_06_Top; Female_Pants_06_Bot	Grey Suit Pants - F	Classic	Business Casual;Business Professional	Grey			All; -Gray	Classic	Female_Pants_06_Icon	Grey Suit Pants		http://women-outfits.com/wp-content/uploads/2015/05/8-business-casual-women-outfits-to-copy-right-now9.jpg
Bottom	Female	Female_Pants_07_Pelvis; Female_Pants_07_Top; Female_Pants_07_Bot	Purple Suit Pants	Classic	Business Casual;Business Professional	Purple			All; -Gray	Classic	Female_Pants_07_Icon	Purple Suit Pants		http://women-outfits.com/wp-content/uploads/2015/05/8-business-casual-women-outfits-to-copy-right-now9.jpg
Bottom	Female	Female_Pants_08_Pelvis; Female_Pants_08_Top; Female_Pants_08_Bot	Tight Jeans		Casual	Blue					Female_Pants_08_Icon	Tight Jeans		
Face	Female	Female_Makeup_01	Red Lipstick	Classic;Formal	Business Casual;Business Professional	Red			All	Classic;Smart;Modern	Female_Makeup_01_Icon	Red Lipstick		
Face	Female	Female_Makeup_02	Red Lipstick with Eyeliner	Classic;Formal	Business Casual	Red			Red	Formal	Female_Makeup_02_Icon	Red Lipstick with Eyeliner		
Face	Female	Female_Makeup_03	False Eyelashes	Trendy	Casual	Brown				Trendy	Female_Makeup_03_Icon	False Eyelashes		
Face	Female	Female_Makeup_04	Pink Lipstick		Casual;Business Casual	Green;Pink					Female_Makeup_04_Icon	Pink Lipstick		
Face	Female	Female_Makeup_05	Purple Eyeliner	Flashy	Informal;Casual				Purple		Female_Makeup_05_Icon	Purple Eyeliner		
Glasses	Female	Female_Makeup_06	Big Shades	Prep;Flashy	Informal	Pink;Dark Blue			Purple	Prep	Female_Makeup_06_Icon	Big Shades		http://fashweekly.com/wp-content/uploads/2013/02/Sunglasses.jpg
Wrist	Female	Female_Jewelry_01	Gold Bangles	Smart	Casual;Business Casual	Gold			Black	Modern;Smart	Female_Jewelry_01_Icon	Gold Bangles		
Wrist	Female	Female_Jewelry_02	Brown Bangles with Gold Accents	Trendy	Casual	Brown			All	Trendy	Female_Jewelry_02_Icon	Brown Bangles with Gold Accents		
Wrist	Female	Female_Jewelry_03	Pearl Bracelet	Classic	Business Casual;Business Professional	White				Classic	Female_Jewelry_03_Icon	Pearl Bracelet		
Wrist	Female	Female_Watch_02	Sports Watch	Sports	Casual	Black			All	Sport	Female_Watch_02_Icon	Sports Watch		
Necklace	Female	Female_Necklace_02	Pink Stone Necklace	Smart	Business Casual	Pink			Pink	Smart;Prep;Modern	Female_Necklace_02_Icon	Pink Stone Necklace		
Necklace	Female	Female_Necklace_03	Double Necklace	Classic	Business Professional	White			All	Classic;Modern	Female_Necklace_03_Icon	Double Necklace		
Necklace	Female	Female_Necklace_04	Triangle Necklace		Business Professional	Pink			Pink		Female_Necklace_04_Icon	Triangle Necklace		
Necklace	Female	Female_Necklace_05	Flower Necklace	Prep	Casual	Green;Yellow			Green;Yellow	Prep	Female_Necklace_05_Icon	Flower Necklace		
Earrings	Female	Female_Earrings_02	Imitation Diamond Earrings	Comfort	Business Casual	Blue			Blue	Comfort;Prep;Trendy	Female_Earring_02_Icon	Imitation Diamond Earrings		
Earrings	Female	Female_Earrings_03	Pearl Earrings	Classic	Business Professional	Silver			All	Classic	Female_Earring_03_Icon	Pearl Earrings		
Earrings	Female	Female_Earrings_04	Penta Earrings		Casual	Pink			Pink		Female_Earring_04_Icon	Penta Earrings		
Earrings	Female	Female_Earrings_05	Tassels	Trendy	Informal	Gold			Black;White	Trendy	Female_Earring_05_Icon	Tassels		
